,Protocol,TailIntensity,FinishTime,FinishTime,Throughput,Throughput
,,,mean,std,mean,std
0,a2tp,low,1.6937515384615385,0.7517091771960546,6.0024,6.450835818403689
1,atp,low,1.9446265714285715,0.3383714042807962,9.98068125,5.174162960393185
