# Time(s)	Cumulative_Traffic(MB)
40.21	99.659
40.31	99.659
40.41	99.659
40.51	99.659
40.61	99.659
40.71	99.659
40.81	99.659
40.91	99.659
41.01	99.659
41.11	99.659
41.21	99.659
41.31	99.659
41.41	99.659
41.51	99.659
41.61	99.659
41.71	99.659
41.81	99.659
41.91	99.659
42.01	99.659
42.11	99.659
42.21	99.659
42.31	99.659
42.41	99.659
42.51	99.659
42.61	99.659
42.71	99.659
42.81	99.659
42.91	99.659
43.01	99.659
43.11	99.659
43.21	99.659
43.31	99.659
43.41	99.659
43.51	99.659
43.61	99.659
43.71	99.659
43.81	99.659
43.91	99.659
44.01	99.659
44.11	99.659
44.21	99.659
44.31	99.659
44.41	99.659
44.51	99.659
44.61	99.659
44.71	99.659
44.81	99.659
44.91	99.659
45.01	99.659
45.11	99.659
45.21	99.659
45.31	99.659
45.41	99.659
45.51	99.659
45.61	99.659
45.71	99.659
45.81	99.659
45.91	99.659
46.01	99.659
46.11	99.659
46.21	99.659
46.31	99.659
46.41	99.659
46.51	99.659
46.61	99.659
46.71	99.659
46.81	99.659
46.91	99.659
47.01	99.659
47.11	99.659
47.21	99.659
47.31	99.659
47.41	99.659
47.51	99.659
47.61	99.659
47.71	99.659
47.81	99.659
47.91	99.659
48.01	99.659
48.11	99.659
48.21	99.659
48.31	99.659
48.41	99.659
48.51	99.659
48.61	99.659
48.71	99.659
48.81	99.659
48.91	99.659
49.01	99.659
49.11	99.659
49.21	99.659
49.31	99.659
49.41	99.659
49.51	99.659
49.61	99.659
49.71	99.659
49.81	99.659
49.91	99.659
50.01	99.659
