# Time(s)	Cumulative_Traffic(MB)
31.91	83.098
32.01	83.1001
32.11	83.1021
32.21	83.1102
32.31	83.1395
32.41	83.165
32.51	83.1862
32.61	83.1986
32.71	83.2033
32.81	83.207
32.91	83.2091
33.01	83.2114
33.11	83.2146
33.21	83.2444
33.31	83.2673
33.41	83.2885
33.51	83.2975
33.61	83.3018
33.71	83.3036
33.81	83.3059
33.91	83.3085
34.01	83.325
34.11	83.3604
34.21	83.3772
34.31	83.3911
34.41	83.3958
34.51	83.399
34.61	83.401
34.71	83.403
34.81	83.4111
34.91	83.4404
35.01	83.4659
35.11	83.4871
35.21	83.4996
35.31	83.5042
35.41	83.508
35.51	83.51
35.61	83.5123
35.71	83.5155
35.81	83.5454
35.91	83.5683
36.01	83.5894
36.11	83.5984
36.21	83.6028
36.31	83.6045
36.41	83.6068
36.51	83.6095
36.61	83.626
36.71	83.6616
36.81	83.6816
36.91	83.6993
37.01	83.7072
37.11	83.7115
37.21	83.7138
37.31	83.7164
37.41	83.7185
37.51	83.7292
37.61	83.7648
37.71	83.7811
37.81	83.7999
37.91	83.8051
38.01	83.8089
38.11	83.8109
38.21	83.8133
38.31	83.8165
38.41	83.8463
38.51	83.8692
38.61	83.8904
38.71	83.8994
38.81	83.9037
38.91	83.9055
39.01	83.9078
39.11	83.9104
39.21	83.9269
39.31	83.9626
39.41	83.9826
39.51	84.0003
39.61	84.0081
39.71	84.0124
39.81	84.0148
39.91	84.0174
40.01	84.0194
40.11	84.0301
40.21	84.0658
40.31	84.082
40.41	84.1009
40.51	84.1061
40.61	84.1098
40.71	84.1119
40.81	84.1142
40.91	84.1174
41.01	84.1472
41.11	84.1719
41.21	84.196
41.31	84.209
41.41	84.2151
41.51	84.2189
41.61	84.2212
41.71	84.2229
41.81	84.2252
41.91	84.2481
42.01	84.2777
42.11	84.298
42.21	84.309
42.31	84.3134
42.41	84.3157
42.51	84.3183
42.61	84.3203
42.71	84.3311
42.81	84.3667
42.91	84.3829
43.01	84.4018
43.11	84.407
43.21	84.4108
43.31	84.4128
43.41	84.4151
43.51	84.4183
43.61	84.4482
43.71	84.4728
43.81	84.4969
43.91	84.5099
44.01	84.516
44.11	84.5198
44.21	84.5221
44.31	84.5238
44.41	84.5262
44.51	84.5491
44.61	84.5786
44.71	84.5989
44.81	84.61
44.91	84.6143
45.01	84.6166
45.11	84.6192
45.21	84.6213
45.31	84.632
45.41	84.6676
45.51	84.6874
45.61	84.7091
45.71	84.7184
45.81	84.723
45.91	84.7262
46.01	84.7282
46.11	84.7303
46.21	84.7384
46.31	84.7677
46.41	84.7903
46.51	84.8091
46.61	84.817
46.71	84.8207
46.81	84.823
46.91	84.8248
47.01	84.8271
47.11	84.85
47.21	84.8796
47.31	84.8999
47.41	84.9109
47.51	84.9152
47.61	84.9176
47.71	84.9202
47.81	84.9222
47.91	84.9329
48.01	84.9686
48.11	84.9883
48.21	85.01
48.31	85.0193
48.41	85.024
48.51	85.0271
48.61	85.0292
48.71	85.0312
48.81	85.0393
48.91	85.0686
49.01	85.0912
49.11	85.1101
49.21	85.1179
49.31	85.1217
49.41	85.124
49.51	85.1257
49.61	85.128
49.71	85.1509
49.81	85.1817
49.91	85.2046
50.01	85.2185
