# Time(s)	Cumulative_Traffic(MB)
31.61	88.7572
31.71	88.7923
31.81	88.8013
31.91	88.8056
32.01	88.8387
32.11	88.8874
32.21	88.9065
32.31	88.9126
32.41	88.9167
32.51	88.9691
32.61	89.0005
32.71	89.0071
32.81	89.0118
32.91	89.0582
33.01	89.0996
33.11	89.1135
33.21	89.1187
33.31	89.1289
33.41	89.1808
33.51	89.2075
33.61	89.2135
33.71	89.2176
33.81	89.2701
33.91	89.3014
34.01	89.3081
34.11	89.3127
34.21	89.3591
34.31	89.4005
34.41	89.4145
34.51	89.4197
34.61	89.4298
34.71	89.4817
34.81	89.5084
34.91	89.5145
35.01	89.5185
35.11	89.5722
35.21	89.6104
35.31	89.6215
35.41	89.6255
35.51	89.6447
35.61	89.6968
35.71	89.7154
35.81	89.7206
35.91	89.7308
36.01	89.7827
36.11	89.8093
36.21	89.8154
36.31	89.8195
36.41	89.8731
36.51	89.9114
36.61	89.9224
36.71	89.9265
36.81	89.9456
36.91	89.9978
37.01	90.0163
37.11	90.0215
37.21	90.0317
37.31	90.0865
37.41	90.1201
37.51	90.1285
37.61	90.1329
37.71	90.1659
37.81	90.21
37.91	90.2233
38.01	90.2274
38.11	90.2465
38.21	90.2987
38.31	90.3173
38.41	90.3225
38.51	90.3326
38.61	90.3874
38.71	90.4211
38.81	90.4295
38.91	90.4338
39.01	90.4669
39.11	90.5109
39.21	90.5243
39.31	90.5283
39.41	90.5475
39.51	90.6031
39.61	90.6286
39.71	90.6353
39.81	90.6399
39.91	90.6863
40.01	90.7214
40.11	90.7304
40.21	90.7347
40.31	90.7678
40.41	90.8119
40.51	90.8252
40.61	90.8293
40.71	90.8484
40.81	90.9041
40.91	90.9296
41.01	90.9362
41.11	90.9409
41.21	90.9873
41.31	91.0223
41.41	91.0313
41.51	91.0357
41.61	91.0687
41.71	91.1174
41.81	91.1366
41.91	91.1427
42.01	91.1467
42.11	91.1992
42.21	91.2305
42.31	91.2372
42.41	91.2418
42.51	91.2882
42.61	91.3233
42.71	91.3323
42.81	91.3366
42.91	91.3697
43.01	91.4184
43.11	91.4375
43.21	91.4436
43.31	91.4476
43.41	91.5001
43.51	91.5314
43.61	91.5381
43.71	91.5427
43.81	91.5891
43.91	91.6306
44.01	91.6445
44.11	91.6497
44.21	91.6599
44.31	91.7118
44.41	91.7384
44.51	91.7445
44.61	91.7486
44.71	91.8011
44.81	91.8324
