# Time(s)	Cumulative_Traffic(MB)
36.11	89.8224
36.21	89.8276
36.31	89.8377
36.41	89.8925
36.51	89.9262
36.61	89.9346
36.71	89.9389
36.81	89.972
36.91	90.016
37.01	90.0294
37.11	90.0334
37.21	90.0526
37.31	90.1048
37.41	90.1233
37.51	90.1285
37.61	90.1387
37.71	90.1935
37.81	90.2271
37.91	90.2355
38.01	90.2399
38.11	90.2729
38.21	90.317
38.31	90.3303
38.41	90.3344
38.51	90.3535
38.61	90.4092
38.71	90.4347
38.81	90.4413
38.91	90.446
39.01	90.4924
39.11	90.5275
39.21	90.5364
39.31	90.5408
39.41	90.5738
39.51	90.6179
39.61	90.6312
39.71	90.6353
39.81	90.6544
39.91	90.7101
40.01	90.7356
40.11	90.7423
40.21	90.7469
40.31	90.7933
40.41	90.8284
40.51	90.8374
40.61	90.8417
40.71	90.8748
40.81	90.9235
40.91	90.9426
41.01	90.9487
41.11	90.9528
41.21	91.0052
41.31	91.0365
41.41	91.0432
41.51	91.0479
41.61	91.0942
41.71	91.1293
41.81	91.1383
41.91	91.1427
42.01	91.1757
42.11	91.2244
42.21	91.2435
42.31	91.2496
42.41	91.2537
42.51	91.3062
42.61	91.3375
42.71	91.3441
42.81	91.3488
42.91	91.3952
43.01	91.4366
43.11	91.4505
43.21	91.4558
43.31	91.4659
43.41	91.5178
43.51	91.5445
43.61	91.5506
43.71	91.5546
43.81	91.6071
43.91	91.6384
44.01	91.6451
44.11	91.6497
44.21	91.6961
44.31	91.7376
44.41	91.7515
44.51	91.7567
44.61	91.7668
44.71	91.8187
44.81	91.8454
44.91	91.8515
45.01	91.8556
45.11	91.9092
45.21	91.9475
45.31	91.9585
45.41	91.9625
45.51	91.9817
45.61	92.0339
45.71	92.0524
45.81	92.0576
45.91	92.0678
46.01	92.1197
46.11	92.1463
46.21	92.1524
46.31	92.1565
46.41	92.2101
46.51	92.2484
46.61	92.2594
46.71	92.2635
46.81	92.2826
46.91	92.3348
47.01	92.3533
47.11	92.3586
47.21	92.3687
47.31	92.4235
47.41	92.4571
47.51	92.4655
47.61	92.4699
47.71	92.5029
47.81	92.547
47.91	92.5603
48.01	92.5644
48.11	92.5835
48.21	92.6357
48.31	92.6543
48.41	92.6595
48.51	92.6696
48.61	92.7244
48.71	92.7581
48.81	92.7665
48.91	92.7708
49.01	92.8039
49.11	92.8479
49.21	92.8613
49.31	92.8653
49.41	92.8845
49.51	92.9401
49.61	92.9657
49.71	92.9723
49.81	92.977
49.91	93.0233
50.01	93.0558
